Ticker,Company,Sector,Index
CNC,Centene Corporation,Health Care,SandP500
CNP,CenterPoint Energy,Utilities,SandP500
CF,CF Industries,Materials,SandP500
CRL,Charles River Laboratories,Health Care,SandP500
SCHW,Charles Schwab Corporation,Financials,SandP500
CHTR,Charter Communications,Communication Services,SandP500
CVX,Chevron Corporation,Energy,SandP500
CMG,Chipotle Mexican Grill,Consumer Discretionary,SandP500
CB,Chubb Limited,Financials,SandP500
CHD,Church & Dwight,Consumer Staples,SandP500
CI,Cigna,Health Care,SandP500
CINF,Cincinnati Financial,Financials,SandP500
CTAS,Cintas,Industrials,SandP500
CSCO,Cisco,Information Technology,SandP500
C,Citigroup,Financials,SandP500
CFG,Citizens Financial Group,Financials,SandP500
CLX,Clorox,Consumer Staples,SandP500
CME,CME Group,Financials,SandP500
CMS,CMS Energy,Utilities,SandP500
KO,Coca-Cola Company (The),Consumer Staples,SandP500
CTSH,Cognizant,Information Technology,SandP500
CL,Colgate-Palmolive,Consumer Staples,SandP500
CMCSA,Comcast,Communication Services,SandP500
CAG,Conagra Brands,Consumer Staples,SandP500
COP,ConocoPhillips,Energy,SandP500
ED,Consolidated Edison,Utilities,SandP500
STZ,Constellation Brands,Consumer Staples,SandP500
CEG,Constellation Energy,Utilities,SandP500
COO,Cooper Companies (The),Health Care,SandP500
CPRT,Copart,Industrials,SandP500
GLW,Corning Inc.,Information Technology,SandP500
CPAY,Corpay,Financials,SandP500
CTVA,Corteva,Materials,SandP500
CSGP,CoStar Group,Real Estate,SandP500
COST,Costco,Consumer Staples,SandP500
CTRA,Coterra,Energy,SandP500
CRWD,CrowdStrike,Information Technology,SandP500
CCI,Crown Castle,Real Estate,SandP500
CSX,CSX Corporation,Industrials,SandP500
CMI,Cummins,Industrials,SandP500
CVS,CVS Health,Health Care,SandP500
DHR,Danaher Corporation,Health Care,SandP500
DRI,Darden Restaurants,Consumer Discretionary,SandP500
DVA,DaVita,Health Care,SandP500
DAY,Dayforce,Industrials,SandP500
DECK,Deckers Brands,Consumer Discretionary,SandP500
DE,Deere & Company,Industrials,SandP500
DELL,Dell Technologies,Information Technology,SandP500
DAL,Delta Air Lines,Industrials,SandP500
DVN,Devon Energy,Energy,SandP500
DXCM,Dexcom,Health Care,SandP500
FANG,Diamondback Energy,Energy,SandP500
DLR,Digital Realty,Real Estate,SandP500
DFS,Discover Financial,Financials,SandP500
DG,Dollar General,Consumer Staples,SandP500
DLTR,Dollar Tree,Consumer Staples,SandP500
D,Dominion Energy,Utilities,SandP500
DPZ,Domino's,Consumer Discretionary,SandP500
DOV,Dover Corporation,Industrials,SandP500
DOW,Dow Inc.,Materials,SandP500
DHI,D. R. Horton,Consumer Discretionary,SandP500
DTE,DTE Energy,Utilities,SandP500
DUK,Duke Energy,Utilities,SandP500
DD,DuPont,Materials,SandP500
EMN,Eastman Chemical Company,Materials,SandP500
ETN,Eaton Corporation,Industrials,SandP500
EBAY,eBay Inc.,Consumer Discretionary,SandP500
ECL,Ecolab,Materials,SandP500
EIX,Edison International,Utilities,SandP500
EW,Edwards Lifesciences,Health Care,SandP500
EA,Electronic Arts,Communication Services,SandP500
ELV,Elevance Health,Health Care,SandP500
EMR,Emerson Electric,Industrials,SandP500
ENPH,Enphase Energy,Information Technology,SandP500
ETR,Entergy,Utilities,SandP500
EOG,EOG Resources,Energy,SandP500
EPAM,EPAM Systems,Information Technology,SandP500
EQT,EQT Corporation,Energy,SandP500
EFX,Equifax,Industrials,SandP500
EQIX,Equinix,Real Estate,SandP500
EQR,Equity Residential,Real Estate,SandP500
ERIE,Erie Indemnity,Financials,SandP500
ESS,Essex Property Trust,Real Estate,SandP500
EL,Estée Lauder Companies (The),Consumer Staples,SandP500
EG,Everest Group,Financials,SandP500
EVRG,Evergy,Utilities,SandP500
ES,Eversource Energy,Utilities,SandP500
EXC,Exelon,Utilities,SandP500
EXPE,Expedia Group,Consumer Discretionary,SandP500
EXPD,Expeditors International,Industrials,SandP500
EXR,Extra Space Storage,Real Estate,SandP500
XOM,ExxonMobil,Energy,SandP500
FFIV,"F5, Inc.",Information Technology,SandP500
FDS,FactSet,Financials,SandP500
FICO,Fair Isaac,Information Technology,SandP500
FAST,Fastenal,Industrials,SandP500
FRT,Federal Realty Investment Trust,Real Estate,SandP500
FDX,FedEx,Industrials,SandP500
FIS,Fidelity National Information Services,Financials,SandP500
FITB,Fifth Third Bancorp,Financials,SandP500
FSLR,First Solar,Information Technology,SandP500
FE,FirstEnergy,Utilities,SandP500
FI,Fiserv,Financials,SandP500
FMC,FMC Corporation,Materials,SandP500
F,Ford Motor Company,Consumer Discretionary,SandP500
FTNT,Fortinet,Information Technology,SandP500
FTV,Fortive,Industrials,SandP500
FOXA,Fox Corporation (Class A),Communication Services,SandP500
FOX,Fox Corporation (Class B),Communication Services,SandP500
BEN,Franklin Resources,Financials,SandP500
FCX,Freeport-McMoRan,Materials,SandP500
GRMN,Garmin,Consumer Discretionary,SandP500
IT,Gartner,Information Technology,SandP500
GE,GE Aerospace,Industrials,SandP500
GEHC,GE HealthCare,Health Care,SandP500
GEV,GE Vernova,Industrials,SandP500
GEN,Gen Digital,Information Technology,SandP500
GNRC,Generac,Industrials,SandP500
GD,General Dynamics,Industrials,SandP500
GIS,General Mills,Consumer Staples,SandP500
GM,General Motors,Consumer Discretionary,SandP500
GPC,Genuine Parts Company,Consumer Discretionary,SandP500
GILD,Gilead Sciences,Health Care,SandP500
GPN,Global Payments,Financials,SandP500
GL,Globe Life,Financials,SandP500
GDDY,GoDaddy,Information Technology,SandP500
GS,Goldman Sachs,Financials,SandP500
HAL,Halliburton,Energy,SandP500
HIG,Hartford (The),Financials,SandP500
HAS,Hasbro,Consumer Discretionary,SandP500
HCA,HCA Healthcare,Health Care,SandP500
DOC,Healthpeak Properties,Real Estate,SandP500
HSIC,Henry Schein,Health Care,SandP500
HSY,Hershey Company (The),Consumer Staples,SandP500
HES,Hess Corporation,Energy,SandP500
HPE,Hewlett Packard Enterprise,Information Technology,SandP500
HLT,Hilton Worldwide,Consumer Discretionary,SandP500
HOLX,Hologic,Health Care,SandP500
HD,Home Depot (The),Consumer Discretionary,SandP500
HON,Honeywell,Industrials,SandP500
HRL,Hormel Foods,Consumer Staples,SandP500
HST,Host Hotels & Resorts,Real Estate,SandP500
HWM,Howmet Aerospace,Industrials,SandP500
HPQ,HP Inc.,Information Technology,SandP500
HUBB,Hubbell Incorporated,Industrials,SandP500
HUM,Humana,Health Care,SandP500
HBAN,Huntington Bancshares,Financials,SandP500
HII,Huntington Ingalls Industries,Industrials,SandP500
IBM,IBM,Information Technology,SandP500
IEX,IDEX Corporation,Industrials,SandP500
IDXX,Idexx Laboratories,Health Care,SandP500
ITW,Illinois Tool Works,Industrials,SandP500
INCY,Incyte,Health Care,SandP500
IR,Ingersoll Rand,Industrials,SandP500
PODD,Insulet Corporation,Health Care,SandP500
INTC,Intel,Information Technology,SandP500
ICE,Intercontinental Exchange,Financials,SandP500
IFF,International Flavors & Fragrances,Materials,SandP500
IP,International Paper,Materials,SandP500
IPG,Interpublic Group of Companies (The),Communication Services,SandP500
INTU,Intuit,Information Technology,SandP500
ISRG,Intuitive Surgical,Health Care,SandP500
IVZ,Invesco,Financials,SandP500
INVH,Invitation Homes,Real Estate,SandP500
IQV,IQVIA,Health Care,SandP500
IRM,Iron Mountain,Real Estate,SandP500
JBHT,J.B. Hunt,Industrials,SandP500
JBL,Jabil,Information Technology,SandP500
JKHY,Jack Henry & Associates,Financials,SandP500
J,Jacobs Solutions,Industrials,SandP500
JNJ,Johnson & Johnson,Health Care,SandP500
JCI,Johnson Controls,Industrials,SandP500
JPM,JPMorgan Chase,Financials,SandP500
JNPR,Juniper Networks,Information Technology,SandP500
K,Kellanova,Consumer Staples,SandP500
KVUE,Kenvue,Consumer Staples,SandP500
KDP,Keurig Dr Pepper,Consumer Staples,SandP500
KEY,KeyCorp,Financials,SandP500
KEYS,Keysight Technologies,Information Technology,SandP500
KMB,Kimberly-Clark,Consumer Staples,SandP500
KIM,Kimco Realty,Real Estate,SandP500
KMI,Kinder Morgan,Energy,SandP500
KKR,KKR & Co.,Financials,SandP500
KLAC,KLA Corporation,Information Technology,SandP500
KHC,Kraft Heinz,Consumer Staples,SandP500
KR,Kroger,Consumer Staples,SandP500
LHX,L3Harris,Industrials,SandP500
LH,Labcorp,Health Care,SandP500
LRCX,Lam Research,Information Technology,SandP500
LW,Lamb Weston,Consumer Staples,SandP500
LVS,Las Vegas Sands,Consumer Discretionary,SandP500
LDOS,Leidos,Industrials,SandP500
LEN,Lennar,Consumer Discretionary,SandP500
LII,Lennox International,Industrials,SandP500
LLY,Lilly (Eli),Health Care,SandP500
LIN,Linde plc,Materials,SandP500
LYV,Live Nation Entertainment,Communication Services,SandP500
LKQ,LKQ Corporation,Consumer Discretionary,SandP500
LMT,Lockheed Martin,Industrials,SandP500
L,Loews Corporation,Financials,SandP500
LOW,Lowe's,Consumer Discretionary,SandP500
LULU,Lululemon Athletica,Consumer Discretionary,SandP500
LYB,LyondellBasell,Materials,SandP500
MTB,M&T Bank,Financials,SandP500
MPC,Marathon Petroleum,Energy,SandP500
MKTX,MarketAxess,Financials,SandP500
MAR,Marriott International,Consumer Discretionary,SandP500
MMC,Marsh McLennan,Financials,SandP500
MLM,Martin Marietta Materials,Materials,SandP500
MAS,Masco,Industrials,SandP500
MA,Mastercard,Financials,SandP500
MTCH,Match Group,Communication Services,SandP500
MKC,McCormick & Company,Consumer Staples,SandP500
MCD,McDonald's,Consumer Discretionary,SandP500
MCK,McKesson Corporation,Health Care,SandP500
MDT,Medtronic,Health Care,SandP500
MRK,Merck & Co.,Health Care,SandP500
META,Meta Platforms,Communication Services,SandP500
MET,MetLife,Financials,SandP500
MTD,Mettler Toledo,Health Care,SandP500
MGM,MGM Resorts,Consumer Discretionary,SandP500
MCHP,Microchip Technology,Information Technology,SandP500
MU,Micron Technology,Information Technology,SandP500
MSFT,Microsoft,Information Technology,SandP500
MAA,Mid-America Apartment Communities,Real Estate,SandP500
MRNA,Moderna,Health Care,SandP500
MHK,Mohawk Industries,Consumer Discretionary,SandP500
MOH,Molina Healthcare,Health Care,SandP500
TAP,Molson Coors Beverage Company,Consumer Staples,SandP500
MDLZ,Mondelez International,Consumer Staples,SandP500
MPWR,Monolithic Power Systems,Information Technology,SandP500
MNST,Monster Beverage,Consumer Staples,SandP500
MCO,Moody's Corporation,Financials,SandP500
MS,Morgan Stanley,Financials,SandP500
MOS,Mosaic Company (The),Materials,SandP500
MSI,Motorola Solutions,Information Technology,SandP500
MSCI,MSCI Inc.,Financials,SandP500
NDAQ,"Nasdaq, Inc.",Financials,SandP500
NTAP,NetApp,Information Technology,SandP500
NFLX,Netflix,Communication Services,SandP500
NEM,Newmont,Materials,SandP500
NWSA,News Corp (Class A),Communication Services,SandP500
NWS,News Corp (Class B),Communication Services,SandP500
NEE,NextEra Energy,Utilities,SandP500
NKE,"Nike, Inc.",Consumer Discretionary,SandP500
NI,NiSource,Utilities,SandP500
NDSN,Nordson Corporation,Industrials,SandP500
NSC,Norfolk Southern,Industrials,SandP500
NTRS,Northern Trust,Financials,SandP500
NOC,Northrop Grumman,Industrials,SandP500
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,SandP500
NRG,NRG Energy,Utilities,SandP500
NUE,Nucor,Materials,SandP500
NVDA,Nvidia,Information Technology,SandP500
NVR,"NVR, Inc.",Consumer Discretionary,SandP500
NXPI,NXP Semiconductors,Information Technology,SandP500
ORLY,O’Reilly Automotive,Consumer Discretionary,SandP500
OXY,Occidental Petroleum,Energy,SandP500
ODFL,Old Dominion,Industrials,SandP500
OMC,Omnicom Group,Communication Services,SandP500
ON,ON Semiconductor,Information Technology,SandP500
OKE,Oneok,Energy,SandP500
ORCL,Oracle Corporation,Information Technology,SandP500
OTIS,Otis Worldwide,Industrials,SandP500
PCAR,Paccar,Industrials,SandP500
PKG,Packaging Corporation of America,Materials,SandP500
PLTR,Palantir Technologies,Information Technology,SandP500
PANW,Palo Alto Networks,Information Technology,SandP500
PARA,Paramount Global,Communication Services,SandP500
PH,Parker Hannifin,Industrials,SandP500
PAYX,Paychex,Industrials,SandP500
PAYC,Paycom,Industrials,SandP500
PYPL,PayPal,Financials,SandP500
PNR,Pentair,Industrials,SandP500
PEP,PepsiCo,Consumer Staples,SandP500
PFE,Pfizer,Health Care,SandP500
PCG,PG&E Corporation,Utilities,SandP500
PM,Philip Morris International,Consumer Staples,SandP500
PSX,Phillips 66,Energy,SandP500
PNW,Pinnacle West Capital,Utilities,SandP500
PNC,PNC Financial Services,Financials,SandP500
POOL,Pool Corporation,Consumer Discretionary,SandP500
PPG,PPG Industries,Materials,SandP500
PPL,PPL Corporation,Utilities,SandP500
PFG,Principal Financial Group,Financials,SandP500
PG,Procter & Gamble,Consumer Staples,SandP500
PGR,Progressive Corporation,Financials,SandP500
PLD,Prologis,Real Estate,SandP500
PRU,Prudential Financial,Financials,SandP500
PEG,Public Service Enterprise Group,Utilities,SandP500
PTC,PTC Inc.,Information Technology,SandP500
PSA,Public Storage,Real Estate,SandP500
PHM,PulteGroup,Consumer Discretionary,SandP500
PWR,Quanta Services,Industrials,SandP500
QCOM,Qualcomm,Information Technology,SandP500
DGX,Quest Diagnostics,Health Care,SandP500
RL,Ralph Lauren Corporation,Consumer Discretionary,SandP500
RJF,Raymond James Financial,Financials,SandP500
RTX,RTX Corporation,Industrials,SandP500
O,Realty Income,Real Estate,SandP500
REG,Regency Centers,Real Estate,SandP500
REGN,Regeneron Pharmaceuticals,Health Care,SandP500
RF,Regions Financial Corporation,Financials,SandP500
RSG,Republic Services,Industrials,SandP500
RMD,ResMed,Health Care,SandP500
RVTY,Revvity,Health Care,SandP500
ROK,Rockwell Automation,Industrials,SandP500
ROL,"Rollins, Inc.",Industrials,SandP500
ROP,Roper Technologies,Information Technology,SandP500
ROST,Ross Stores,Consumer Discretionary,SandP500
RCL,Royal Caribbean Group,Consumer Discretionary,SandP500
SPGI,S&P Global,Financials,SandP500
CRM,Salesforce,Information Technology,SandP500
SBAC,SBA Communications,Real Estate,SandP500
SLB,Schlumberger,Energy,SandP500
STX,Seagate Technology,Information Technology,SandP500
SRE,Sempra,Utilities,SandP500
NOW,ServiceNow,Information Technology,SandP500
SHW,Sherwin-Williams,Materials,SandP500
SPG,Simon Property Group,Real Estate,SandP500
SWKS,Skyworks Solutions,Information Technology,SandP500
SJM,J.M. Smucker Company (The),Consumer Staples,SandP500
SW,Smurfit Westrock,Materials,SandP500
SNA,Snap-on,Industrials,SandP500
SOLV,Solventum,Health Care,SandP500
SO,Southern Company,Utilities,SandP500
LUV,Southwest Airlines,Industrials,SandP500
SWK,Stanley Black & Decker,Industrials,SandP500
SBUX,Starbucks,Consumer Discretionary,SandP500
STT,State Street Corporation,Financials,SandP500
STLD,Steel Dynamics,Materials,SandP500
STE,Steris,Health Care,SandP500
SYK,Stryker Corporation,Health Care,SandP500
SMCI,Supermicro,Information Technology,SandP500
SYF,Synchrony Financial,Financials,SandP500
SNPS,Synopsys,Information Technology,SandP500
SYY,Sysco,Consumer Staples,SandP500
TMUS,T-Mobile US,Communication Services,SandP500
TROW,T. Rowe Price,Financials,SandP500
TTWO,Take-Two Interactive,Communication Services,SandP500
TPR,"Tapestry, Inc.",Consumer Discretionary,SandP500
TRGP,Targa Resources,Energy,SandP500
TGT,Target Corporation,Consumer Staples,SandP500
TEL,TE Connectivity,Information Technology,SandP500
TDY,Teledyne Technologies,Information Technology,SandP500
TFX,Teleflex,Health Care,SandP500
TER,Teradyne,Information Technology,SandP500
TSLA,"Tesla, Inc.",Consumer Discretionary,SandP500
TXN,Texas Instruments,Information Technology,SandP500
TPL,Texas Pacific Land Corporation,Energy,SandP500
TXT,Textron,Industrials,SandP500
TMO,Thermo Fisher Scientific,Health Care,SandP500
TJX,TJX Companies,Consumer Discretionary,SandP500
TSCO,Tractor Supply,Consumer Discretionary,SandP500
TT,Trane Technologies,Industrials,SandP500
TDG,TransDigm Group,Industrials,SandP500
TRV,Travelers Companies (The),Financials,SandP500
TRMB,Trimble Inc.,Information Technology,SandP500
TFC,Truist Financial,Financials,SandP500
TYL,Tyler Technologies,Information Technology,SandP500
TSN,Tyson Foods,Consumer Staples,SandP500
USB,U.S. Bancorp,Financials,SandP500
UBER,Uber,Industrials,SandP500
UDR,"UDR, Inc.",Real Estate,SandP500
ULTA,Ulta Beauty,Consumer Discretionary,SandP500
UNP,Union Pacific Corporation,Industrials,SandP500
UAL,United Airlines Holdings,Industrials,SandP500
UPS,United Parcel Service,Industrials,SandP500
URI,United Rentals,Industrials,SandP500
UNH,UnitedHealth Group,Health Care,SandP500
UHS,Universal Health Services,Health Care,SandP500
VLO,Valero Energy,Energy,SandP500
VTR,Ventas,Real Estate,SandP500
VLTO,Veralto,Industrials,SandP500
VRSN,Verisign,Information Technology,SandP500
VRSK,Verisk Analytics,Industrials,SandP500
VZ,Verizon,Communication Services,SandP500
VRTX,Vertex Pharmaceuticals,Health Care,SandP500
VTRS,Viatris,Health Care,SandP500
VICI,Vici Properties,Real Estate,SandP500
V,Visa Inc.,Financials,SandP500
VST,Vistra Corp.,Utilities,SandP500
VMC,Vulcan Materials Company,Materials,SandP500
WRB,W. R. Berkley Corporation,Financials,SandP500
GWW,W. W. Grainger,Industrials,SandP500
WAB,Wabtec,Industrials,SandP500
WBA,Walgreens Boots Alliance,Consumer Staples,SandP500
WMT,Walmart,Consumer Staples,SandP500
DIS,Walt Disney Company (The),Communication Services,SandP500
WBD,Warner Bros. Discovery,Communication Services,SandP500
WM,Waste Management,Industrials,SandP500
WAT,Waters Corporation,Health Care,SandP500
WEC,WEC Energy Group,Utilities,SandP500
WFC,Wells Fargo,Financials,SandP500
WELL,Welltower,Real Estate,SandP500
WST,West Pharmaceutical Services,Health Care,SandP500
WDC,Western Digital,Information Technology,SandP500
WY,Weyerhaeuser,Real Estate,SandP500
WMB,Williams Companies,Energy,SandP500
WTW,Willis Towers Watson,Financials,SandP500
WDAY,"Workday, Inc.",Information Technology,SandP500
WYNN,Wynn Resorts,Consumer Discretionary,SandP500
XEL,Xcel Energy,Utilities,SandP500
XYL,Xylem Inc.,Industrials,SandP500
YUM,Yum! Brands,Consumer Discretionary,SandP500
ZBRA,Zebra Technologies,Information Technology,SandP500
ZBH,Zimmer Biomet,Health Care,SandP500
ZTS,Zoetis,Health Care,SandP500
