Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Index,Ticker
1997-11-04 00:00:00-05:00,21.156859968389785,21.39404449718339,20.302995664732798,21.251733779907227,1999800,0.0,0.0,SandP500,RL
1997-11-05 00:00:00-05:00,21.25172657765729,21.441474136386372,20.63504701178777,21.3940372467041,704900,0.0,0.0,SandP500,RL
1997-11-06 00:00:00-05:00,21.394048794597186,21.394048794597186,20.540184319424792,20.919679641723633,310200,0.0,0.0,SandP500,RL
1997-11-07 00:00:00-05:00,20.255569026742506,20.49275367576759,20.018384377717418,20.35044288635254,186600,0.0,0.0,SandP500,RL
1997-11-10 00:00:00-05:00,20.635057173634028,20.824804825805373,19.97094039103431,20.01837730407715,172600,0.0,0.0,SandP500,RL
1997-11-11 00:00:00-05:00,19.97093231090601,20.25555367400681,19.544000266254812,19.638874053955078,156900,0.0,0.0,SandP500,RL
1997-11-12 00:00:00-05:00,19.354257583618164,19.686315924513572,19.117073054407157,19.354257583618164,152700,0.0,0.0,SandP500,RL
1997-11-13 00:00:00-05:00,19.354258277998543,20.63505478168962,19.259384462910315,20.587617874145508,411000,0.0,0.0,SandP500,RL
1997-11-14 00:00:00-05:00,20.492747404137436,20.96711655701099,20.492747404137436,20.919679641723633,277200,0.0,0.0,SandP500,RL
1997-11-17 00:00:00-05:00,21.299170303344724,21.441481018066405,20.872238159179688,20.872238159179688,400100,0.0,0.0,SandP500,RL
1997-11-18 00:00:00-05:00,21.251736878269938,21.251736878269938,20.72993083884813,20.96711540222168,452300,0.0,0.0,SandP500,RL
1997-11-19 00:00:00-05:00,20.9671000846157,21.91583764500555,20.872226328576716,21.53634262084961,488800,0.0,0.0,SandP500,RL
1997-11-20 00:00:00-05:00,21.631230528458307,22.579968709531038,21.631230528458307,21.82097816467285,792400,0.0,0.0,SandP500,RL
1997-11-21 00:00:00-05:00,22.010720360358032,22.153031052343106,21.061982413790876,21.488914489746094,225500,0.0,0.0,SandP500,RL
1997-11-24 00:00:00-05:00,21.061984232027235,21.251731837721174,20.445304513521933,20.777362823486328,240400,0.0,0.0,SandP500,RL
1997-11-25 00:00:00-05:00,20.587615217792386,20.824799724909813,20.20812000640451,20.777362823486328,175500,0.0,0.0,SandP500,RL
1997-11-26 00:00:00-05:00,20.96710694164311,21.06198072870937,20.39786421924556,20.682485580444336,105700,0.0,0.0,SandP500,RL
1997-11-28 00:00:00-05:00,20.49273681640625,20.587610597963685,20.44529992562753,20.49273681640625,73900,0.0,0.0,SandP500,RL
1997-12-01 00:00:00-05:00,20.68249091080257,21.39404449718339,20.68249091080257,21.251733779907227,230900,0.0,0.0,SandP500,RL
1997-12-02 00:00:00-05:00,21.25173804873512,21.394048794597186,20.872242726436276,20.919679641723633,105100,0.0,0.0,SandP500,RL
1997-12-03 00:00:00-05:00,20.72992859677785,20.824802411866077,20.587617874145508,20.587617874145508,302900,0.0,0.0,SandP500,RL
1997-12-04 00:00:00-05:00,20.729922473977464,20.824796261043723,20.492738006311818,20.682485580444336,300700,0.0,0.0,SandP500,RL
1997-12-05 00:00:00-05:00,20.492747404137436,21.0619903875857,20.492747404137436,20.919679641723633,108600,0.0,0.0,SandP500,RL
1997-12-08 00:00:00-05:00,21.63122825284975,21.820975869102817,21.39404373253341,21.44148063659668,282600,0.0,0.0,SandP500,RL
1997-12-09 00:00:00-05:00,21.441481018066405,21.48891792297363,20.777364349365232,20.872238159179688,210500,0.0,0.0,SandP500,RL
1997-12-10 00:00:00-05:00,19.923503744191137,20.77736819037076,19.828629916837844,20.63505744934082,349100,0.0,0.0,SandP500,RL
1997-12-11 00:00:00-05:00,20.44530719219927,20.44530719219927,19.354258316513462,19.87606430053711,520200,0.0,0.0,SandP500,RL
1997-12-12 00:00:00-05:00,20.018366905359123,20.018366905359123,19.449124244543224,19.733745574951172,244300,0.0,0.0,SandP500,RL
1997-12-15 00:00:00-05:00,19.544007787164652,20.113250732421875,19.544007787164652,20.113250732421875,266800,0.0,0.0,SandP500,RL
1997-12-16 00:00:00-05:00,20.06581359254452,20.113250504110816,18.879890803387042,19.022201538085938,583200,0.0,0.0,SandP500,RL
1997-12-17 00:00:00-05:00,19.3542536826589,19.49656437150198,18.690137134724527,18.879884719848633,381200,0.0,0.0,SandP500,RL
1997-12-18 00:00:00-05:00,18.8798780830539,18.927314962659562,18.31063552778594,18.595256805419922,191900,0.0,0.0,SandP500,RL
1997-12-19 00:00:00-05:00,18.21576499938965,18.21576499938965,17.836269895235695,18.21576499938965,351000,0.0,0.0,SandP500,RL
1997-12-22 00:00:00-05:00,18.59526472981771,18.690138529459638,17.64652673339844,17.788837432861328,403500,0.0,0.0,SandP500,RL
1997-12-23 00:00:00-05:00,17.693963138997052,17.883710732980937,16.602914473589728,16.934972763061523,440200,0.0,0.0,SandP500,RL
1997-12-24 00:00:00-05:00,17.077287647822132,17.456782928884845,16.887540007290774,17.314472198486328,192100,0.0,0.0,SandP500,RL
1997-12-26 00:00:00-05:00,17.26702533110729,17.26702533110729,16.93496715166292,17.172151565551758,274700,0.0,0.0,SandP500,RL
1997-12-29 00:00:00-05:00,17.17215839614216,17.21959529778896,16.508041773086937,16.650352478027344,909500,0.0,0.0,SandP500,RL
1997-12-30 00:00:00-05:00,16.69779306087854,17.741405127183448,16.69779306087854,17.59909439086914,937600,0.0,0.0,SandP500,RL
1997-12-31 00:00:00-05:00,18.215762423485824,18.54782059266395,17.93114113561886,18.40550994873047,563900,0.0,0.0,SandP500,RL
1998-01-02 00:00:00-05:00,18.02601744731267,18.40551255146662,17.88370678325494,18.21576499938965,426300,0.0,0.0,SandP500,RL
1998-01-05 00:00:00-05:00,18.405516474380104,19.069633048197943,18.12089508560103,18.69013786315918,1209700,0.0,0.0,SandP500,RL
1998-01-06 00:00:00-05:00,18.40551530886919,18.595262889372997,18.310641518617288,18.500389099121094,198500,0.0,0.0,SandP500,RL
1998-01-07 00:00:00-05:00,18.31064224243164,18.405516036433877,17.931147066422696,18.31064224243164,355200,0.0,0.0,SandP500,RL
1998-01-08 00:00:00-05:00,18.31064224243164,18.547826727437233,18.12089465442717,18.31064224243164,416000,0.0,0.0,SandP500,RL
1998-01-09 00:00:00-05:00,18.120895731608073,18.21576953125,17.741400533040366,17.788837432861328,157000,0.0,0.0,SandP500,RL
1998-01-12 00:00:00-05:00,17.50421829327293,17.599092105160587,17.172159951666128,17.4567813873291,419100,0.0,0.0,SandP500,RL
1998-01-13 00:00:00-05:00,17.456780628491472,17.883712763427404,17.36190682072793,17.646528244018555,419900,0.0,0.0,SandP500,RL
1998-01-14 00:00:00-05:00,17.83627515850645,18.78501319885254,17.83627515850645,18.78501319885254,380300,0.0,0.0,SandP500,RL
1998-01-15 00:00:00-05:00,18.78501165941887,19.164506844457634,18.59526406689949,18.69013786315918,317100,0.0,0.0,SandP500,RL
1998-01-16 00:00:00-05:00,18.690143157121845,19.40169683061633,18.595269333989247,19.022201538085938,291600,0.0,0.0,SandP500,RL
1998-01-20 00:00:00-05:00,18.974757540053215,19.638874053955078,18.927320646203082,19.638874053955078,300300,0.0,0.0,SandP500,RL
1998-01-21 00:00:00-05:00,19.54401043483189,20.018379620143346,18.974767412458146,19.923505783081055,236100,0.0,0.0,SandP500,RL
1998-01-22 00:00:00-05:00,19.923494694905987,20.065805371298172,19.49656266572943,19.82862091064453,417300,0.0,0.0,SandP500,RL
1998-01-23 00:00:00-05:00,19.59144133477662,19.638878238734915,18.64270325561068,19.06963539123535,403900,0.0,0.0,SandP500,RL
1998-01-26 00:00:00-05:00,18.974760485041806,19.73375090444348,18.59526527534097,19.591440200805664,136600,0.0,0.0,SandP500,RL
1998-01-27 00:00:00-05:00,19.401689111305576,19.59143668207629,18.974757077071466,19.25937843322754,251300,0.0,0.0,SandP500,RL
1998-01-28 00:00:00-05:00,18.785016592323927,19.117074966430664,18.785016592323927,19.117074966430664,242100,0.0,0.0,SandP500,RL
1998-01-29 00:00:00-05:00,19.117067755149503,19.59143668207629,18.690135720915393,19.25937843322754,503600,0.0,0.0,SandP500,RL
1998-01-30 00:00:00-05:00,19.449126836165643,19.638874415055064,19.259379257276223,19.54400062561035,477700,0.0,0.0,SandP500,RL
1998-02-02 00:00:00-05:00,20.492746275474584,21.20429996559523,20.160687886751614,20.96711540222168,1353900,0.0,0.0,SandP500,RL
1998-02-03 00:00:00-05:00,20.96712297381777,21.109433763232822,19.35426736044717,20.35044288635254,1114400,0.0,0.0,SandP500,RL
1998-02-04 00:00:00-05:00,20.255558771569515,20.540180206298828,19.9709373368402,20.540180206298828,401600,0.0,0.0,SandP500,RL
1998-02-05 00:00:00-05:00,20.540172142206238,20.682482803699582,20.1132401577262,20.39786148071289,212500,0.0,0.0,SandP500,RL
1998-02-06 00:00:00-05:00,20.39786148071289,20.492735255041787,20.255550819219547,20.39786148071289,368700,0.0,0.0,SandP500,RL
1998-02-09 00:00:00-05:00,20.397870243969052,20.587617874145508,20.11324879870437,20.587617874145508,216900,0.0,0.0,SandP500,RL
1998-02-10 00:00:00-05:00,20.540180206298828,20.635054017875266,20.302995677357735,20.540180206298828,383000,0.0,0.0,SandP500,RL
1998-02-11 00:00:00-05:00,20.208122613792597,20.587617874145508,20.208122613792597,20.587617874145508,231500,0.0,0.0,SandP500,RL
1998-02-12 00:00:00-05:00,20.587613009334948,21.156855765353427,20.44530232033033,21.109418869018555,240800,0.0,0.0,SandP500,RL
1998-02-13 00:00:00-05:00,20.824801254272458,20.96711196899414,20.68249053955078,20.872238159179688,146100,0.0,0.0,SandP500,RL
1998-02-17 00:00:00-05:00,20.68248902063936,20.872236626333297,20.68248902063936,20.777362823486328,165300,0.0,0.0,SandP500,RL
1998-02-18 00:00:00-05:00,20.68248437952112,20.872231942635995,20.25555236251266,20.49273681640625,275600,0.0,0.0,SandP500,RL
1998-02-19 00:00:00-05:00,20.492746275474584,21.156863052920517,20.208124799426326,20.96711540222168,374300,0.0,0.0,SandP500,RL
1998-02-20 00:00:00-05:00,20.872234470241672,21.96328309027703,20.824797573718396,21.58378791809082,516000,0.0,0.0,SandP500,RL
1998-02-23 00:00:00-05:00,21.39404449718339,21.583792120218277,21.01454925111362,21.251733779907227,273700,0.0,0.0,SandP500,RL
1998-02-24 00:00:00-05:00,21.204304072062175,21.67867329067654,21.156867150200735,21.346614837646484,279200,0.0,0.0,SandP500,RL
1998-02-25 00:00:00-05:00,21.251729642427883,22.010719986800307,21.251729642427883,21.58378791809082,223700,0.0,0.0,SandP500,RL
1998-02-26 00:00:00-05:00,21.72610206520531,21.820975873350314,21.536354448915308,21.678665161132812,131400,0.0,0.0,SandP500,RL
1998-02-27 00:00:00-05:00,21.44148063659668,21.63122825284975,21.061985404090542,21.44148063659668,256300,0.0,0.0,SandP500,RL
1998-03-02 00:00:00-05:00,21.29917068566595,21.583792120218277,21.204296874148508,21.251733779907227,330700,0.0,0.0,SandP500,RL
1998-03-03 00:00:00-05:00,21.061986538326792,21.394044884651766,20.777365098619676,21.1568603515625,128900,0.0,0.0,SandP500,RL
1998-03-04 00:00:00-05:00,20.9671123453549,21.251733779907227,20.9671123453549,21.251733779907227,113700,0.0,0.0,SandP500,RL
1998-03-05 00:00:00-05:00,20.82480427166363,21.39404721303029,20.82480427166363,21.061988830566406,152100,0.0,0.0,SandP500,RL
